Language,numberofpages,author,bookEdition,description,title,GoodReadAverageRating,bookformat,NumberofRatings,id
English,279 pages,William Shakespeare,The New Cambridge Shakespeare,"The New Cambridge Shakespeare appeals to students worldwide for its up-to-date scholarship and emphasis on performance. The series features line-by-line commentaries and textual notes on the plays and poems and an extensive introduction. The Winter's Tale is one of Shakespeare's most varied, theatrically self-conscious, and emotionally wide-ranging plays. Much of the play's copiousness inheres in its generic intermingling of tragedy, comedy, romance, pastoral, and the history play. In addition to dates and sources, the introduction attends to iterative patterns, the nature and cause of Leontes' jealousy, the staging and meaning of the bear episode, and the thematic and structural implications of the figure of Time. Special attention is paid to the ending and its tempered happiness. Performance history is integrated throughout the introduction and commentary. Appendices include the theatrical practice of doubling.",The Winter's Tale,3.69,Paperback,20110,44133
English,32 pages,Vera B. Williams,25th Anniversary Edition; Reading Rainbow Book,"Graduate of Black Mountain College, North Carolina, where she majored in graphic art. In her own words, she has ""done graphic art, school teaching, children-raising [she has two daughters and a son], has run a bakery and been a cook in schools and restaurants."" (from back flap of book)",A Chair for My Mother ,4.2,Paperback,20389,835202
English,192 pages,Bill Willingham,Trade,"Having beaten back the Adversary's first advance into their world, the residents of Fabletown must now prepare themselves for the full-scale war that is sure to follow. For one particular Fable, this means skipping town to launch a new career as a venal Hollywood mogul - a path he hopes will be paved with gold and immortality. For another Fable, though, it means a journey down a much more dangerous road - one that winds through the Fables' old Homelands into the very heart of enemy territory, where the mystery of the Adversary's identity will finally be revealed! ","Fables, Volume 6: Homelands",4.3,Paperback,19344,21328
English,750 pages,L.J. Smith,Omnibus,But as Jenny and her six friends begin to play the Game at Tom's birthday cele,The Forbidden Game,4.19,Paperback,19574,7100490
English,694 pages,Peter F. Hamilton,First Edition,"Exposed as the Second Dreamer, Araminta has become the target of a galaxywide search by government agent Paula Myo and the psychopath known as the Cat, along with others equally determined to prevent-- or facilitate --the pilgrimage of the Living Dream cult into the heart of the Void. An indestructible microuniverse, the Void may contain paradise, as the cultists believe, but it is also a deadly threat. For the miraculous reality that exists inside its boundaries demands energy--energy drawn from everything outside those boundaries: from planets, stars, galaxies... from everything that lives. ",The Evolutionary Void,4.26,Hardcover,15752,7438179
English,482 pages,Dave Barry,First Edition,"In this action-packed conclusion to the Starcatchers trilogy, Peter and Molly find themselves in the dangerous land of Rundoon, ruled by the evil King Zarboff, who takes great delight in watching his pet snake, Kundalini, consume anyone who displeases him. But that's just the start of the trouble facing our heroes, who once again find themselves pitted against the evil shadow creature Lord Ombra, in a struggle to save themselves and Molly's father - not to mention the entire planet - from an unthinkable end. Meanwhile, back in Never Land, a tribal war is under way, and while Peter is off fighting to save the world, a young Mollusk princess has no choice but to join forced with sinister pirates to save her island from the vicious Scorpions.",Peter and the Secret of Rundoon,4.16,Hardcover,19422,555500
English,224 pages,Brian Michael Bendis,First,"The Marvel event of the decade is here! The Avengers and the X-Men are faced with a common foe that becomes their greatest threat: Wanda Maximoff! The Scarlet Witch is out of control, and the fate of the entire world is in her hands. Will Magneto help his daughter or use her powers to his own benefit? Starring the Astonishing X-Men and the New Avengers! You know how sometimes you hear the phrase: and nothing will ever be the same again? Well, this time believe it, buster! Nothing will ever be the same again!",House of M,3.97,Paperback,15714,105973
English,596 pages,Brian  McClellan,UK edition,"Tamas's invasion of Kez ends in disaster when a Kez counter-offensive leaves him cut off behind enemy lines with only a fraction of his army, no supplies, and no hope of reinforcements. Drastically outnumbered and pursued by the enemy's best, he must lead his men on a reckless march through northern Kez to safety, and back over the mountains so that he can defend his country from an angry god. In Adro, Inspector Adamat only wants to rescue his wife. To do so he must track down and confront the evil Lord Vetas. He has questions for Vetas concerning his enigmatic master, but the answers might come too quickly. With Tamas and his powder cabal presumed dead, Taniel Two-shot finds himself alongside the god-chef Mihali as the last line of defence against Kresimir's advancing army. Tamas's generals bicker among themselves, the brigades lose ground every day beneath the Kez onslaught, and Kresimir wants the head of the man who shot him in the eye.",The Crimson Campaign,4.36,Hardcover,17411,17608111
English,1040 pages,Pablo Neruda,Reprint Edition,"""In his work a continent awakens to consciousness."" So wrote the Swedish Academy in awarding the Nobel Prize to Pablo Neruda, the author of more than thirty-five books of poetry and one of Latin America's most revered wri",The Poetry of Pablo Neruda,4.44,Paperback,14772,5936
English,471 pages,Sherwood Smith,Omnibus,"Young Countess Meliara swears to her dying father that she and her brother will defend their people from the growing greed of the king. That promise leads them into a war for which they are ill-prepared, which threatens the very people they are trying to protect. But war is simple compared to what follows, in peacetime. Meliara is summoned to live at the royal palace, where friends and enemies look alike, and intrigue fills the dance halls and the drawing rooms. If she is to survive, Meliara must learn a whole new way of fighting-with wits and words and secret alliances.",Crown Duel ,4.19,Paperback,20283,21060
English,336 pages,William Zinsser,30th Anniversary Edition," has been praised for its sound advice, its clarity and the warmth of its style. It is a book for everybody who wants to learn how to write or who needs to do some writing to get through the day, as almost everybody does in the age of e-mail and the Internet. Whether you want to write about people or places, science and technology, business, sports, the arts or about yourself in the increasingly popular memoir genre, ",On Writing Well: The Classic Guide to Writing Nonfiction,4.24,Paperback,16447,53343
"
                  ",354 pages,Amish Tripathi,First Edition,3400 BCE. INDIA,"
                  9385152149
                      ",3.69,Paperback,17319,24709327
English,71 pages,John Stuart Mill,Second Edition, includes the text of his 1868 speech to the British House of Commons defending the use of capital punishment in cases of aggravated murder. The speech is significant both because its topic remains timely and because its arguments illustrate the applicability of the principle of utility to questions of large-scale s,Utilitarianism,3.65,Paperback,15762,584637
English,272 pages,Agatha Christie,Agatha Christie Signature Edition,"Who was he? Was he suffering from shock or just exhaustion? Above all, what was the significance of the figure 4, scribbled over and over again on a sheet of paper? Poirot finds himself plunged into a world",The Big Four,3.6,Paperback,21835,16316
English,366 pages,Fritjof Capra,25th Anniversary Edition," includes a new preface and afterword in which the author reviews the developments of the twenty-five years since the book's first publication, discusses criticisms the book has received, and examines future possibilities for a new sc",The Tao of Physics: An Exploration of the Parallels Between Modern Physics and Eastern Mysticism,3.96,Paperback,13853,10238
English,400 pages,Larissa Ione,US edition,"As the only female Seminus demon ever born, master assassin Sinead Donnelly is used to being treated like an outcast. She spent decades enslaved, and now vows she'll die before she'll relinquish her freedom again. Then Sin's innate ability to kill her enemies goes awry: She creates a lethal new werewolf virus that sparks a firestorm of panic and violence",Sin Undone,4.35,Mass Market Paperback,24056,7715664
English,269 pages,Joseph O'Neill,First American Edition,"In a New York City made phantasmagorical by the events of 9/11, Hans--a banker originally from the Netherlands--finds himself marooned among",Netherland,3.4,Hardcover,15792,2615008
English,453 pages,Bernard Cornwell,First,". It has always been held to be the triumph of the longbow against the armoured knight, and of the comm",Azincourt ,4.11,Hardcover,18032,3276012
English,740 pages,Anonymous,3rd,", or Book of Changes, is one of the 1st efforts of the human mind to place itself within the universe. It has exerted a living influence in China for 3000 years and interest in it has spread in the West. ",易 [Yì],4.18,Hardcover,14762,534289
English,528 pages,James Patterson,Large print,"Now his cousin Stefan has been accused of a horrible, unthinkable murder, and Cross drives south with Bree, Nana Mama, Jannie, and Ali to Starksville, North Carolina, for the first time in thirty-f",Cross Justice,4.22,Hardcover,16666,25066591
